SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT
6,30,0,Admin-0 capital,Monaco,,,0,Monaco,1.00000000000,0.00000000000,,0.00000000000,0,Monaco,MCO,Monaco,MCO,,MC,,43.73964568790,7.40691317347,4.00000000000,0,Location adjusted. Changed scale rank.,36371,36371,102371,7,7,2993458.00000000000,,Monaco,1,0,108543,108543,108543,0,0,50,36,36.00000000000,14.00000000000,14.00000000000,57.00000000000,57.00000000000,35.00000000000,35.00000000000,7.35000000000,7.35000000000,7.53333333000,7.53333333000,43.71666667000,43.71666667000,43.80000000000,43.80000000000,7.44252874000,43.75416667000,0,Monaco,P,PPLC,0.00000000000,1020,0.00000000000,-9999.00000000000,Europe/Monaco,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,0,Admin-0 capital,Tarawa,,,0,Tarawa,1.00000000000,0.00000000000,,0.00000000000,0,Kiribati,KIR,Kiribati,KIR,,KI,,1.33818750562,173.01757082900,4.00000000000,0,Location adjusted. Changed scale rank.,28802,22534,0,7,7,2110079.00000000000,,Tarawa,1,5,22534,22534,22534,22534,0,100,12,12.00000000000,5.00000000000,5.00000000000,28.00000000000,28.00000000000,17.00000000000,17.00000000000,172.96666667000,172.96666667000,173.05833333000,173.05833333000,1.32500000000,1.32500000000,1.35833333000,1.35833333000,173.01547619000,1.33869048000,0,Tarawa,P,PPL,0.00000000000,28802,0.00000000000,1.00000000000,Pacific/Tarawa,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,0,Admin-0 capital,Moroni,,,0,Moroni,1.00000000000,0.00000000000,,0.00000000000,0,Comoros,COM,Comoros,COM,,KM,,-11.70415769570,43.24024409870,4.00000000000,0,Changed scale rank.,128698,42872,0,9,7,921772.00000000000,,Moroni,1,5,128698,128698,128698,128698,0,100,60,60.00000000000,23.00000000000,23.00000000000,98.00000000000,98.00000000000,61.00000000000,61.00000000000,43.22500000000,43.22500000000,43.29166667000,43.29166667000,-11.75833333000,-11.75833333000,-11.47500000000,-11.47500000000,43.26435185000,-11.63993056000,0,Moroni,P,PPLC,2.00000000000,42872,0.00000000000,35.00000000000,Indian/Comoro,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,0,Admin-0 capital,Andorra,,,0,Andorra,1.00000000000,0.00000000000,,0.00000000000,0,Andorra,AND,Andorra,AND,,AD,,42.50000144350,1.51648596051,4.00000000000,0,Changed scale rank.,53998,22256,53371,8,7,3130067.00000000000,,Andorra,1,5,53998,53998,53998,0,0,50,23,23.00000000000,9.00000000000,9.00000000000,49.00000000000,49.00000000000,31.00000000000,31.00000000000,1.48333333000,1.48333333000,1.59166667000,1.59166667000,42.48333333000,42.48333333000,42.55000000000,42.55000000000,1.53547297000,42.51813063000,0,Andorra,P,PPL,52.00000000000,7890,0.00000000000,687.00000000000,Europe/Madrid,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
4,50,8,Admin-0 capital,Port-of-Spain,,,0,Port-of-Spain,1.00000000000,0.00000000000,,0.00000000000,0,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,Port of Spain,TT,,10.65199708960,-61.51703088540,4.00000000000,0,Changed scale rank.,294934,49031,419082,10,7,3573890.00000000000,,Port-of-Spain,1,5,294934,294934,294934,294934,0,100,112,112.00000000000,43.00000000000,43.00000000000,109.00000000000,109.00000000000,67.00000000000,67.00000000000,-61.53333333000,-61.53333333000,-61.25000000000,-61.25000000000,10.58333333000,10.58333333000,10.66666667000,10.66666667000,-61.38336466000,10.63881579000,0,Port-of-Spain,P,PPLC,5.00000000000,49657,0.00000000000,-9999.00000000000,America/Port_of_Spain,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
4,50,0,Admin-0 capital,Kigali,,,0,Kigali,1.00000000000,0.00000000000,,0.00000000000,1,Rwanda,RWA,Rwanda,RWA,Kigali City,RW,,-1.95359006868,30.06053177770,4.00000000000,0,Changed scale rank.,860000,745261,1152904,11,11,202061.00000000000,Kigali,Kigali,1,0,1046787,2263899,5065653,7102391,0,100,601,8753.00000000000,232.00000000000,3380.00000000000,735.00000000000,9184.00000000000,457.00000000000,5707.00000000000,29.16666667000,29.83333333000,30.23333333000,30.47500000000,-2.99166667000,-2.07500000000,-1.76663007000,-1.07500000000,29.91377454000,-2.03442702500,0,Kigali,P,PPLC,9.00000000000,745261,0.00000000000,1568.00000000000,Africa/Kigali,GeoNames match general.,439,Rwanda,-1.95000000000,30.05000000000,18.00000000000,25.00000000000,34.00000000000,45.00000000000,59.00000000000,90.00000000000,128.00000000000,168.00000000000,219.00000000000,289.00000000000,497.00000000000,775.00000000000,860.00000000000,947.00000000000,1152.00000000000,1413.00000000000,1715.00000000000,
4,50,8,Admin-0 capital,Mbabane,,,0,Mbabane,1.00000000000,0.00000000000,Administrative,0.00000000000,0,Swaziland,SWZ,Swaziland,SWZ,Hhohho,SZ,,-26.31665077840,31.13333451210,4.00000000000,0,Changed scale rank.,90138,76218,89979,8,8,934985.00000000000,,Mbabane,1,0,90138,90138,90138,90138,0,100,28,28.00000000000,11.00000000000,11.00000000000,37.00000000000,37.00000000000,23.00000000000,23.00000000000,31.10000000000,31.10000000000,31.15833333000,31.15833333000,-26.35000000000,-26.35000000000,-26.28333333000,-26.28333333000,31.12984234000,-26.31542793000,0,Mbabane,P,PPLC,1.00000000000,76218,0.00000000000,1156.00000000000,Africa/Mbabane,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
4,50,5,Admin-0 capital,Juba,,,0,Juba,0.00000000000,1.00000000000,,0.00000000000,0,South Sudan,SSD,South Sudan,SSD,Central Equatoria,SS,,4.82997519828,31.58002559280,20.00000000000,0,Changed country.,111975,111975,111975,9,9,373303.00000000000,,Juba,1,0,111975,111975,111975,0,0,50,21,21.00000000000,8.00000000000,8.00000000000,30.00000000000,30.00000000000,18.00000000000,18.00000000000,31.57500000000,31.57500000000,31.62500000000,31.62500000000,4.81666667000,4.81666667000,4.88333333000,4.88333333000,31.60150000000,4.84516667000,0,Juba,P,PPLA,44.00000000000,0,0.00000000000,551.00000000000,Africa/Khartoum,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
4,50,8,Admin-0 capital alt,The Hague,,,0,The Hague,0.00000000000,1.00000000000,"Official, legis",0.00000000000,0,Kingdom of the Netherlands,NLD,Netherlands,NLD,Zuid-Holland,NL,,52.08003684400,4.26996130231,0.00000000000,0,,1406000,501725,688599,12,11,2747373.00000000000,,The Hague,1,0,708489,708489,2312867,0,0,50,195,710.00000000000,75.00000000000,274.00000000000,217.00000000000,764.00000000000,135.00000000000,475.00000000000,4.15000000000,4.15000000000,4.45000000000,4.74914132000,51.76666667000,51.95833333000,52.15833333000,52.15833333000,4.35591238000,52.02147489000,0,Den Haag,P,PPLG,11.00000000000,474292,0.00000000000,1.00000000000,Europe/Amsterdam,"GeoNames rough area, rough name.",0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
4,50,8,Admin-0 capital,Ljubljana,,,0,Ljubljana,1.00000000000,0.00000000000,,0.00000000000,0,Slovenia,SVN,Slovenia,SVN,Osrednjeslovenska,SI,,46.05528830880,14.51496903350,4.00000000000,0,Changed scale rank.,314807,255115,256316,10,10,3196359.00000000000,,Ljubljana,1,0,314807,314807,314807,314807,0,100,145,145.00000000000,56.00000000000,56.00000000000,208.00000000000,208.00000000000,129.00000000000,129.00000000000,14.43333333000,14.43333333000,14.63333333000,14.63333333000,46.00000000000,46.00000000000,46.24166667000,46.24166667000,14.54103224000,46.09195816000,0,Ljubljana,P,PPLC,61.00000000000,255115,0.00000000000,284.00000000000,Europe/Ljubljana,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
