scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
1,Admin-0 country,2.000000,Canada,CAN,0.000000,2.000000,Sovereign country,Canada,CAN,0.000000,Canada,CAN,0.000000,Canada,CAN,0.000000,Canada,Canada,CAN,Canada,,Can.,CA,Canada,,,,Canada,,6.000000,6.000000,2.000000,2.000000,33487208.000000,1300000.000000,-99.000000,2011.000000,-99.000000,1. Developed region: G7,1. High income: OECD,-99.000000,,CA,CAN,124,124,CA,CAN,-99.000000,CAN,CAN,-99.000000,-99.000000,North America,Americas,Northern America,North America,6.000000,6.000000,4.000000,-99.000000,1.000000
1,Admin-0 country,2.000000,United States of America,US1,1.000000,2.000000,Country,United States of America,USA,0.000000,United States of America,USA,0.000000,United States of America,USA,0.000000,United States,United States,USA,United States,,U.S.A.,US,United States of America,,,,United States of America,,4.000000,5.000000,1.000000,1.000000,313973000.000000,15094000.000000,0.000000,2010.000000,0.000000,1. Developed region: G7,1. High income: OECD,0.000000,,US,USA,840,840,US,USA,-99.000000,USA,USA,-99.000000,-99.000000,North America,Americas,Northern America,North America,13.000000,13.000000,6.000000,-99.000000,1.000000
